Colorado,2008,14,0
Kentucky,2008,13,8
New Mexico,2008,7,4
Arkansas,2008,13,3
Nevada,2008,9,5
Maine,2008,3,1
West Virginia,2008,4,2
Nebraska,2008,1,0
Delaware,2008,3,7
Minnesota,2008,2,2
Iowa,2008,5,2
South Carolina,2008,21,5
Utah,2008,3,0
Idaho,2008,1,1
Oregon,2008,4,0
Vermont,2008,2,0
Hawaii,2008,2,1
Wyoming,2008,1,0
Rhodes Island,2008,2,0
Connecticut,2009,6,9
Florida,2009,77,35
Kentucky,2009,11,5
South Carolina,2009,23,1
Massachusetts,2009,7,8
Pennsylvania,2009,62,15
Texas,2009,98,38
Tennessee,2009,50,12
California,2009,101,110
Georgia,2009,47,16
Ohio,2009,34,24
Arkansas,2009,8,5
Alabama,2009,22,8
Oklahoma,2009,17,6
Arizona,2009,25,21
Illinois,2009,20,29
Oregon,2009,8,3
New Jersey,2009,19,10
Maryland,2009,32,19
New York,2009,41,26
Nevada,2009,18,6
Indiana,2009,22,16
New Mexico,2009,13,5
Virginia,2009,31,12
Louisiana,2009,31,21
Colorado,2009,12,2
Michigan,2009,36,25
Idaho,2009,3,3
Missouri,2009,21,17
North Carolina,2009,31,20
Alaska,2009,6,1
North Dakota,2009,0,1
District of Columbia,2009,7,3
Nebraska,2009,3,3
Washington,2009,17,4
Mississippi,2009,8,8
Wisconsin,2009,10,4
South Dakota,2009,3,0
West Virginia,2009,4,3
Utah,2009,2,1
Hawaii,2009,0,1
Kansas,2009,4,6
Delaware,2009,5,2
New Hampshire,2009,0,3
Montana,2009,1,1
Minnesota,2009,5,1
Wyoming,2009,1,1
Iowa,2009,3,1
Maine,2009,1,0
California,2010,97,105
Hawaii,2010,5,0
Pennsylvania,2010,51,20
Maryland,2010,32,21
Florida,2010,81,43
North Carolina,2010,26,10
Arizona,2010,31,13
Virginia,2010,22,12
Nevada,2010,13,6
Montana,2010,3,0
Illinois,2010,12,25
Louisiana,2010,27,26
South Carolina,2010,22,8
Texas,2010,97,46
Oklahoma,2010,16,8
Michigan,2010,25,28
New Jersey,2010,24,15
Indiana,2010,23,6
Missouri,2010,28,17
Georgia,2010,32,18
Tennessee,2010,34,7
Nebraska,2010,4,2
Ohio,2010,29,19
Kentucky,2010,12,6
West Virginia,2010,10,3
Alabama,2010,18,6
Connecticut,2010,8,3
New York,2010,49,41
Massachusetts,2010,5,5
Mississippi,2010,12,5
Kansas,2010,4,3
New Mexico,2010,10,6
Minnesota,2010,4,2
Delaware,2010,3,1
Wisconsin,2010,19,3
Colorado,2010,11,2
District of Columbia,2010,5,6
Arkansas,2010,6,2
Oregon,2010,9,1
Maine,2010,3,0
Washington,2010,16,4
Idaho,2010,3,0
Alaska,2010,2,2
Wyoming,2010,1,0
South Dakota,2010,1,1
Utah,2010,3,0
New Hampshire,2010,1,0
Iowa,2010,1,0
Texas,2011,87,43
California,2011,107,83
Georgia,2011,35,20
Maryland,2011,14,18
Louisiana,2011,24,32
Michigan,2011,54,23
Nevada,2011,10,5
Kansas,2011,10,2
Massachusetts,2011,8,14
Florida,2011,73,34
Ohio,2011,24,19
South Carolina,2011,32,7
Wisconsin,2011,15,1
Tennessee,2011,35,12
New Jersey,2011,25,23
Arizona,2011,25,8
Arkansas,2011,9,5
Wyoming,2011,0,2
Virginia,2011,23,8
Minnesota,2011,4,1
Pennsylvania,2011,36,10
Maine,2011,3,1
Alaska,2011,3,1
Colorado,2011,18,5
Connecticut,2011,6,8
New York,2011,37,38
North Carolina,2011,31,22
Missouri,2011,27,9
Iowa,2011,6,0
New Mexico,2011,8,6
Kentucky,2011,11,11
Illinois,2011,15,25
Delaware,2011,4,3
Indiana,2011,19,7
District of Columbia,2011,7,5
Mississippi,2011,11,10
Utah,2011,7,3
Oklahoma,2011,14,4
Washington,2011,15,7
North Dakota,2011,3,0
South Dakota,2011,2,2
Oregon,2011,6,2
Nebraska,2011,8,0
Hawaii,2011,3,0
Idaho,2011,4,0
Rhodes Island,2011,1,0
West Virginia,2011,8,0
Vermont,2011,2,0
New Hampshire,2011,0,1
Washington,2012,18,9
Arizona,2012,27,11
Kansas,2012,12,2
Florida,2012,73,44
Tennessee,2012,45,7
California,2012,98,83
Wisconsin,2012,17,2
Georgia,2012,36,30
New York,2012,29,36
Kentucky,2012,14,9
Missouri,2012,28,13
Illinois,2012,19,38
South Carolina,2012,23,3
North Carolina,2012,42,17
Michigan,2012,50,34
Ohio,2012,27,17
Texas,2012,83,32
Maryland,2012,23,9
Virginia,2012,25,4
North Dakota,2012,2,0
West Virginia,2012,12,1
Louisiana,2012,26,31
Indiana,2012,17,13
Pennsylvania,2012,57,15
Oklahoma,2012,13,6
New Mexico,2012,10,3
Oregon,2012,9,1
New Jersey,2012,23,15
Idaho,2012,2,1
Connecticut,2012,10,8
Arkansas,2012,14,6
Mississippi,2012,9,7
Nevada,2012,17,5
Minnesota,2012,7,2
New Hampshire,2012,1,0
Massachusetts,2012,9,3
Delaware,2012,1,1
Vermont,2012,2,1
Colorado,2012,17,2
Maine,2012,3,0
Iowa,2012,2,3
Utah,2012,3,0
Nebraska,2012,4,2
Alaska,2012,2,1
Montana,2012,3,0
South Dakota,2012,2,0
Alabama,2012,2,0
Rhodes Island,2012,2,1
Hawaii,2012,1,0
California,2013,98,96
Nevada,2013,12,2
Georgia,2013,36,22
Connecticut,2013,5,3
Wisconsin,2013,14,0
Michigan,2013,44,22
Colorado,2013,15,3
Illinois,2013,15,27
Pennsylvania,2013,48,33
Louisiana,2013,22,23
Florida,2013,76,45
Missouri,2013,19,25
Ohio,2013,21,20
New York,2013,50,19
Oklahoma,2013,23,5
North Carolina,2013,26,18
Texas,2013,92,35
Washington,2013,14,2
Arizona,2013,33,10
Kentucky,2013,14,7
Tennessee,2013,26,10
Maryland,2013,21,19
Alaska,2013,3,1
New Hampshire,2013,3,0
Minnesota,2013,9,4
Nebraska,2013,3,2
New Jersey,2013,10,28
Virginia,2013,20,7
Mississippi,2013,14,5
Indiana,2013,18,14
Delaware,2013,2,2
South Carolina,2013,26,1
New Mexico,2013,7,2
Oregon,2013,7,2
Massachusetts,2013,5,6
Rhodes Island,2013,3,3
Kansas,2013,8,2
District of Columbia,2013,2,6
Arkansas,2013,12,5
Utah,2013,8,1
Hawaii,2013,2,1
West Virginia,2013,2,1
South Dakota,2013,1,0
Iowa,2013,1,3
North Dakota,2013,1,0
Idaho,2013,1,2
Maine,2013,1,0
Montana,2013,2,0
Wyoming,2013,2,0
California,2014,88,91
Minnesota,2014,8,1
Michigan,2014,43,29
Ohio,2014,35,13
Connecticut,2014,8,4
Nevada,2014,12,10
Alaska,2014,2,2
Florida,2014,67,45
Tennessee,2014,28,10
Missouri,2014,29,18
North Carolina,2014,30,14
Georgia,2014,32,31
District of Columbia,2014,4,6
South Carolina,2014,25,12
Virginia,2014,27,10
Indiana,2014,25,11
Utah,2014,5,2
Texas,2014,96,31
Illinois,2014,9,26
New York,2014,46,17
Pennsylvania,2014,42,31
Montana,2014,3,1
Wisconsin,2014,15,1
Maryland,2014,18,17
Oregon,2014,1,2
Kentucky,2014,14,5
Washington,2014,19,3
Louisiana,2014,25,17
Arizona,2014,14,7
Kansas,2014,9,1
Colorado,2014,10,4
New Mexico,2014,12,1
Oklahoma,2014,16,5
Arkansas,2014,15,4
New Jersey,2014,22,18
Iowa,2014,2,0
Massachusetts,2014,10,8
Mississippi,2014,10,7
Rhodes Island,2014,4,0
West Virginia,2014,8,0
Idaho,2014,5,2
Delaware,2014,2,4
Nebraska,2014,4,1
South Dakota,2014,0,2
Wyoming,2014,1,0
New Hampshire,2014,1,0
Hawaii,2014,0,1
Vermont,2014,1,0
